species,location,time,description,sex,feather_color,time_parsed,year,month,hour,description_length,color_count
Golden Eagle,Zurich,23-06-2023 14:20,A majestic bird of prey with dark brown plumage and a golden-brown nape,Unknown,Brown and Golden-brown,2023-06-23 14:20:00,2023,6,14,71,2
Palm Cockatoo,Sydney,30-06-2023 16:30,A large black parrot with a distinctive large crest and a red patch on its face,Unknown,Black and Red,2023-06-30 16:30:00,2023,6,16,79,2
Yellow-billed Cuckoo,Houston,07-07-2023 10:40,"A medium-sized bird with a yellow bill, a long tail, and a brownish-gray plumage",Unknown,Brown and Yellow,2023-07-07 10:40:00,2023,7,10,80,2
Black Woodpecker,Paris,25-06-2023 12:10,"A large woodpecker with black plumage, a yellow eye, and a red crown",Unknown,"Black, Yellow, and Red",2023-06-25 12:10:00,2023,6,12,68,3
Greater Sage-Grouse,Denver,02-07-2023 07:15,A large grouse with mottled gray-brown plumage and a distinctive display courtship dance,Unknown,Gray-brown,2023-07-02 07:15:00,2023,7,7,88,1
Reddish Egret,New Orleans,29-06-2023 15:40,"A medium-sized heron with a shaggy reddish-brown plumage and a distinctive ""shuffling"" feeding behavior,Unknown,Reddish-brown",Unknown,Reddish-brown,2023-06-29 15:40:00,2023,6,15,125,1
Cerulean Warbler,Lexington,06-07-2023 09:50,A small warbler with a cerulean-blue upper body and a white underbody,Male,Blue and White,2023-07-06 09:50:00,2023,7,9,69,2
Black-crowned Night-Heron,New York City,24-06-2023 18:20,"A medium-sized heron with a black crown, gray body, and red eyes",Unknown,Black and Gray,2023-06-24 18:20:00,2023,6,18,64,2
Crimson Rosella,Melbourne,30-06-2023 14:35,"A medium-sized parrot with crimson red plumage, blue cheeks, and a blue tail",Unknown,Crimson and Blue,2023-06-30 14:35:00,2023,6,14,76,2
Greater Yellowlegs,Seattle,19-06-2023 11:55,A tall wading bird with long yellow legs and mottled brownish-gray plumage,Unknown,Yellow and Gray-brown,2023-06-19 11:55:00,2023,6,11,74,2
Cape Gannet,Cape Town,26-06-2023 15:20,"A large seabird with a white body, black wingtips, and a yellow head",Unknown,"White, Black, and Yellow",2023-06-26 15:20:00,2023,6,15,68,3
White-faced Whistling-Duck,Nairobi,03-07-2023 17:30,"A medium-sized duck with a white face, a chestnut body, and a pink bill",Unknown,"White, Chestnut, and Pink",2023-07-03 17:30:00,2023,7,17,71,3
Eurasian Wryneck,Oslo,20-06-2023 09:40,"A small bird with mottled brown plumage, a cryptic pattern, and a distinctive ""snake-like"" head movement,Unknown,Brown",Unknown,Brown,2023-06-20 09:40:00,2023,6,9,118,1
Black-crowned Sparrow-Lark,Perth,27-06-2023 12:15,"A small bird with a black crown, grayish-brown upperparts, and a white belly",Unknown,"Black, Grayish-brown, and White",2023-06-27 12:15:00,2023,6,12,76,3
African Grey Hornbill,Johannesburg,04-07-2023 14:55,"A medium-sized bird with a gray body, a black-and-white face, and a large yellow bill",Unknown,"Gray, Black, White, and Yellow",2023-07-04 14:55:00,2023,7,14,85,4
Green-winged Teal,Toronto,18-06-2023 08:30,A small dabbling duck with a mottled brown body and a distinctive green wing patch,Unknown,Brown and Green,2023-06-18 08:30:00,2023,6,8,82,2
Northern Flicker,Vancouver,01-07-2023 10:20,"A medium-sized woodpecker with a brown body, black bars on its back, and a red patch on the nape",Male,Brown and Red,2023-07-01 10:20:00,2023,7,10,96,2
Gray-headed Swamphen,Sydney,24-06-2023 14:45,"A large waterbird with a blue-black body, gray head, and long legs",Unknown,Blue-black and Gray,2023-06-24 14:45:00,2023,6,14,66,2
Great Crested Grebe,London,05-07-2023 16:30,"A medium-sized waterbird with a distinctive head crest, a white neck, and a reddish-brown body",Unknown,White and Reddish-brown,2023-07-05 16:30:00,2023,7,16,94,2
American White Pelican,Chicago,20-06-2023 12:50,A large white waterbird with a massive bill and a pouch,Male,White,2023-06-20 12:50:00,2023,6,12,55,1
Red-breasted Merganser,Miami,29-06-2023 10:15,A medium-sized diving duck with a reddish-brown head and a gray body,Female,Reddish-brown and Gray,2023-06-29 10:15:00,2023,6,10,68,2
White-tailed Tropicbird,Mexico City,02-07-2023 14:20,"A seabird with long white tail feathers and a white body, a black eye mask, and a yellow bill",Unknown,"White, Black, and Yellow",2023-07-02 14:20:00,2023,7,14,93,3
Snow Bunting,Oslo,17-06-2023 09:40,A small bird with white plumage and a black back and wings,Unknown,White and Black,2023-06-17 09:40:00,2023,6,9,58,2
Puffin,Edinburgh,30-06-2023 15:10,"A medium-sized seabird with a colorful bill, a black back, and a white underbody",Unknown,Black and White,2023-06-30 15:10:00,2023,6,15,80,2
Barn Swallow,Rome,23-06-2023 10:25,A medium-sized bird with a deeply forked tail and a blue-black back and wings,Unknown,Blue-black,2023-06-23 10:25:00,2023,6,10,77,1
Painted Bunting,Cairo,04-07-2023 16:40,"A small bird with vibrant plumage, including bright blue, green, red, and yellow",Male,Various colors,2023-07-04 16:40:00,2023,7,16,80,1
Crested Serpent Eagle,Kuala Lumpur,21-06-2023 13:25,"A medium-sized bird of prey with a crest, brown plumage, and barred wings",Unknown,Brown,2023-06-21 13:25:00,2023,6,13,73,1
Crowned Hornbill,Nairobi,05-07-2023 11:15,A large bird with a distinctive black-and-white crown and a curved bill,Unknown,Black and White,2023-07-05 11:15:00,2023,7,11,71,2
White-browed Wagtail,Bangkok,26-06-2023 10:45,A small bird with a black-and-white face pattern and a long tail,Unknown,Black and White,2023-06-26 10:45:00,2023,6,10,64,2
Western Tanager,Seattle,19-06-2023 16:50,"A medium-sized bird with a bright yellow body, black wings, and a red head",Male,"Yellow, Black, and Red",2023-06-19 16:50:00,2023,6,16,74,3
Purple Heron,Paris,24-06-2023 08:20,A large wading bird with a purplish-gray body and long legs,Unknown,Purplish-gray,2023-06-24 08:20:00,2023,6,8,59,1
Orange-winged Amazon,Tokyo,02-07-2023 09:30,"A medium-sized parrot with green plumage, a yellow head, and orange wing feathers",Unknown,"Green, Yellow, and Orange",2023-07-02 09:30:00,2023,7,9,81,3
American Avocet,San Francisco,27-06-2023 14:30,"A tall wading bird with a slender upturned bill, white body, and black-and-white wings",Unknown,"White, Black, and White",2023-06-27 14:30:00,2023,6,14,86,3
Ruff,Amsterdam,03-07-2023 15:40,"A medium-sized wading bird with a mottled brown plumage, a long neck, and distinctive ""ruff"" feathers,Unknown,Brown",Unknown,Brown,2023-07-03 15:40:00,2023,7,15,115,1
Cape Weaver,Johannesburg,22-06-2023 12:10,A small bird with yellow plumage and a black face mask,Unknown,Yellow and Black,2023-06-22 12:10:00,2023,6,12,54,2
Eurasian Treecreeper,Oslo,07-07-2023 11:55,"A small bird with mottled brown plumage and a long, curved bill",Unknown,Brown,2023-07-07 11:55:00,2023,7,11,63,1
Pileated Woodpecker,New York City,25-06-2023 09:20,"A large woodpecker with a red crest, black body, and white stripes on its face",Male,"Red, Black, and White",2023-06-25 09:20:00,2023,6,9,78,3
Scarlet Ibis,Rio de Janeiro,17-06-2023 16:15,"A medium-sized wading bird with bright scarlet plumage and a long, curved bill",Unknown,Scarlet,2023-06-17 16:15:00,2023,6,16,78,1
Greater Sand Plover,Sydney,01-07-2023 13:40,"A small shorebird with a mottled brown plumage, a white underbody, and a distinctive black-and-white face pattern",Unknown,"Brown, White, Black, and White",2023-07-01 13:40:00,2023,7,13,113,4
Chestnut-collared Longspur,Denver,28-06-2023 10:30,A medium-sized bird with a chestnut-colored collar and a streaked back,Unknown,Chestnut and Brown,2023-06-28 10:30:00,2023,6,10,70,2
White-rumped Shama,Delhi,05-07-2023 16:55,"A medium-sized bird with a black head, a white rump, and a melodious song",Unknown,Black and White,2023-07-05 16:55:00,2023,7,16,73,2
Reddish Egret,Miami,20-06-2023 14:20,"A medium-sized heron with a shaggy reddish-brown plumage and a distinctive ""shuffling"" feeding behavior,Unknown,Reddish-brown",Unknown,Reddish-brown,2023-06-20 14:20:00,2023,6,14,125,1
Alder Flycatcher,Chicago,04-07-2023 11:40,A small songbird with olive-green upperparts and a whitish underbody,Unknown,Olive-green and White,2023-07-04 11:40:00,2023,7,11,68,2
Northern Harrier,Seattle,21-06-2023 08:55,"A medium-sized bird of prey with a distinctive white rump patch and a low, gliding flight",Unknown,Brown and White,2023-06-21 08:55:00,2023,6,8,89,2
Reddish Hermit,Port-au-Prince,24-06-2023 15:25,"A small hummingbird with a reddish-brown body and a long, curved bill",Male,Reddish-brown,2023-06-24 15:25:00,2023,6,15,69,1
Baltimore Oriole,"Washington,D.C.",29-06-2023 12:10,A medium-sized bird with bright orange plumage and black wings,Male,Orange and Black,2023-06-29 12:10:00,2023,6,12,62,2
Laughing Kookaburra,Sydney,02-07-2023 10:30,"A large bird with brown plumage, a white chest, and a distinctive ""laughing"" call,Unknown,Brown and White",Unknown,Brown and White,2023-07-02 10:30:00,2023,7,10,105,2
Ruby-crowned Kinglet,Seattle,25-06-2023 09:45,A small songbird with olive-green upperparts and a ruby-red crown,Male,Olive-green and Red,2023-06-25 09:45:00,2023,6,9,65,2
Siberian Rubythroat,St. Petersburg,01-07-2023 11:50,"A small songbird with a brownish-gray body, a white throat, and a bright red patch on its throat",Male,"Brownish-gray, White, and Red",2023-07-01 11:50:00,2023,7,11,96,3
Common Tern,New York City,19-06-2023 15:15,"A medium-sized bird with a white body, gray wings, and a black cap on its head",Unknown,"White, Gray, and Black",2023-06-19 15:15:00,2023,6,15,78,3
Gray-crowned Rosy-Finch,Boulder,26-06-2023 12:40,A medium-sized finch with gray plumage and a rosy-pink wash on its face and underparts,Unknown,Gray and Pink,2023-06-26 12:40:00,2023,6,12,86,2
Black-winged Stilt,Amsterdam,03-07-2023 09:55,"A tall wading bird with black-and-white plumage, long pink legs, and a long, thin bill",Unknown,"Black, White, and Pink",2023-07-03 09:55:00,2023,7,9,86,3
Yellow-billed Hornbill,Cape Town,22-06-2023 14:10,A medium-sized bird with a black-and-white face and a distinctive yellow bill,Unknown,"Black, White, and Yellow",2023-06-22 14:10:00,2023,6,14,77,3
Sandwich Tern,Edinburgh,29-06-2023 15:40,"A medium-sized seabird with a white body, black cap, and a yellow-tipped black bill",Unknown,"White, Black, and Yellow",2023-06-29 15:40:00,2023,6,15,83,3
Eastern Meadowlark,Denver,04-07-2023 10:20,"A medium-sized bird with a yellow breast, a black ""V"" on its chest, and a melodic song,Unknown,Yellow and Black, and a melodic song",Unknown,Yellow and Black,2023-07-04 10:20:00,2023,7,10,131,2
Leach's Storm-Petrel,Reykjavik,21-06-2023 11:30,"A small seabird with a dark plumage, a white rump, and a forked tail",Unknown,Dark and White,2023-06-21 11:30:00,2023,6,11,68,2
Lazuli Bunting,San Francisco,27-06-2023 13:25,A small bird with bright blue plumage and a brownish back,Male,Blue and Brown,2023-06-27 13:25:00,2023,6,13,57,2
Swamp Sparrow,New York City,20-06-2023 09:50,A small sparrow with a streaked brown back and a grayish-brown breast,Unknown,Brown and Grayish-brown,2023-06-20 09:50:00,2023,6,9,69,2
Chestnut-headed Bee-eater,Bangkok,05-07-2023 15:10,"A medium-sized bird with a chestnut-colored head, green body, and long, curved bill",Unknown,Chestnut and Green,2023-07-05 15:10:00,2023,7,15,83,2
Yellow-billed Magpie,Sacramento,24-06-2023 10:25,A medium-sized bird with a black-and-white plumage and a yellow bill,Unknown,"Black, White, and Yellow",2023-06-24 10:25:00,2023,6,10,68,3
Spotted Flycatcher,Paris,01-07-2023 12:40,A small songbird with a brownish-gray plumage and distinctive spotted wings,Unknown,Brownish-gray,2023-07-01 12:40:00,2023,7,12,75,1
Black-throated Sparrow,Los Angeles,18-06-2023 11:55,"A small sparrow with a black throat, a gray crown, and a white underbody",Unknown,"Black, Gray, and White",2023-06-18 11:55:00,2023,6,11,72,3
Ring-necked Duck,Toronto,25-06-2023 08:20,"A medium-sized diving duck with a black head, a gray body, and a white ring around its bill",Male,"Black, Gray, and White",2023-06-25 08:20:00,2023,6,8,91,3
Black-headed Gull,London,02-07-2023 16:30,"A small gull with a black head, a white body, and gray wings",Unknown,"Black, White, and Gray",2023-07-02 16:30:00,2023,7,16,60,3
Long-eared Owl,Chicago,19-06-2023 14:45,A medium-sized owl with prominent ear tufts and a streaked brown plumage,Unknown,Brown,2023-06-19 14:45:00,2023,6,14,72,1
Vermilion Flycatcher,Rio de Janeiro,26-06-2023 12:10,"A small songbird with a bright red head, a brownish body, and a distinctive crest",Male,Red and Brownish,2023-06-26 12:10:00,2023,6,12,81,2
Snowy-crowned Tern,Perth,03-07-2023 11:30,"A medium-sized seabird with a white body, a black cap, and a long, forked tail",Unknown,White and Black,2023-07-03 11:30:00,2023,7,11,78,2
Indigo Bunting,Melbourne,22-06-2023 13:55,A small bird with bright blue plumage,Male,Blue,2023-06-22 13:55:00,2023,6,13,37,1
Cape White-eye,Cape Town,29-06-2023 15:20,"A small bird with greenish-yellow plumage, a white eye ring, and a melodious song",Unknown,Greenish-yellow,2023-06-29 15:20:00,2023,6,15,81,1
Ashy Drongo,Delhi,06-07-2023 10:40,"A medium-sized bird with a black plumage, a gray head, and distinctive red eyes",Unknown,Black and Gray,2023-07-06 10:40:00,2023,7,10,79,2
American Coot,San Francisco,17-06-2023 13:30,"A medium-sized waterbird with a dark body, a white bill, and distinctive lobed toes",Unknown,Black and White,2023-06-17 13:30:00,2023,6,13,83,2
Horned Lark,Denver,26-06-2023 11:45,"A small bird with a black ""horned"" tuft on its head and a streaked brown plumage,Unknown,Brown and Black",Unknown,Brown and Black,2023-06-26 11:45:00,2023,6,11,104,2
Belted Kingfisher,Seattle,02-07-2023 08:20,"A medium-sized bird with a shaggy crest, a blue-gray back, and a white underbody",Unknown,Blue-gray and White,2023-07-02 08:20:00,2023,7,8,80,2
Red-winged Blackbird,New York City,19-06-2023 15:40,A medium-sized blackbird with a red shoulder patch and a black body,Male,Black and Red,2023-06-19 15:40:00,2023,6,15,67,2
